school_sector,school_code,school_name,school_grade_range,school_enrollment_SY1819,school_star_score_SY1819,school_star_rating_SY1819,school_capacity_SY1819,school_unfilled_seats_SY1819,school_latitude,school_longitude,school_cluster,school_ward,school_grade_band,school_enrollment_SY1718,school_star_score_SY1718,school_star_rating_SY1718,school_capacity_SY1718,school_unfilled_seats_SY1718,attnd_count_truancy_aged_students_SY1819,attnd_absence_1-5_SY1819,attnd_absence_6-10_SY1819,attnd_absence_11-20_SY1819,attnd_absence_20+_SY1819,attnd_count_truancy_aged_students_SY1718,attnd_absence_1-5_SY1718,attnd_absence_6-10_SY1718,attnd_absence_11-20_SY1718,attnd_absence_20+_SY1718,school_budgeted_amount_FY16,school_budgeted_enrollment_FY16,school_budgeted_amount_FY17,school_budgeted_enrollment_FY17,school_capacity_pct_SY1819,school_capacity_pct_SY1718,students_with_absences_SY1819,students_with_absences_SY1718,pct_of_absences_1-5_SY1819,pct_of_student_absences_1-5_SY1819,pct_of_absences_6-10_SY1819,pct_of_student_absences_6-10_SY1819,pct_of_absences_11-20_SY1819,pct_of_student_absences_11-20_SY1819,pct_of_absences_20+_SY1819,pct_of_student_absences_20+_SY1819,pct_of_absences_1-5_SY1718,pct_of_absences_6-10_SY1718,pct_of_absences_11-20_SY1718,pct_of_absences_20+_SY1718,pct_of_student_absences_1-5_SY1718,pct_of_student_absences_6-10_SY1718,pct_of_student_absences_11-20_SY1718,pct_of_student_absences_20+_SY1718
DCPS,202,Aiton Elementary School,PK3-5th,244.0,10.79,1.0,529.0,285.0,38.89700181,-76.93370092,Cluster 31,Ward 7,Elementary,243.0,43.85,3.0,529.0,286.0,190,58.0,61.0,45.0,21.0,190.0,74.0,58.0,33.0,12.0,7429920.000736499,2650.0,3780814.0,2499672.0,0.4612476370510397,0.45935727788279773,185.0,177.0,0.31351351351351353,0.23770491803278687,0.32972972972972975,0.25,0.24324324324324326,0.18442622950819673,0.11351351351351352,0.0860655737704918,0.4180790960451977,0.327683615819209,0.1864406779661017,0.06779661016949153,0.3045267489711934,0.23868312757201646,0.13580246913580246,0.04938271604938271
DCPS,203,Amidon-Bowen Elementary School,PK3-5th,339.0,48.54,3.0,400.0,61.0,38.8795154,-77.0181253,Cluster 9,Ward 6,Elementary,351.0,36.53,2.0,400.0,49.0,279,132.0,87.0,38.0,10.0,309.0,149.0,98.0,36.0,12.0,8979878.262866085,3660.0,4533018.0,3020358.0,0.8475,0.8775,267.0,295.0,0.4943820224719101,0.3893805309734513,0.3258426966292135,0.25663716814159293,0.14232209737827714,0.11209439528023599,0.03745318352059925,0.029498525073746312,0.5050847457627119,0.33220338983050846,0.12203389830508475,0.04067796610169491,0.42450142450142453,0.2792022792022792,0.10256410256410256,0.03418803418803419
DCPS,450,Anacostia High School,9th-12th,296.0,3.68,1.0,837.0,541.0,38.87008406,-76.98307725,Cluster 34,Ward 8,High,379.0,2.85,1.0,837.0,458.0,345,20.0,29.0,68.0,221.0,396.0,31.0,40.0,59.0,262.0,18537017.599638693,6360.0,9238855.0,4694247.0,0.3536439665471924,0.45280764635603343,338.0,392.0,0.05917159763313609,0.06756756756756757,0.08579881656804733,0.09797297297297297,0.20118343195266272,0.22972972972972974,0.6538461538461539,0.7466216216216216,0.07908163265306123,0.10204081632653061,0.15051020408163265,0.6683673469387755,0.08179419525065963,0.10554089709762533,0.15567282321899736,0.6912928759894459
DCPS,452,Ballou High School,9th-12th,650.0,4.83,1.0,,,38.83851166,-77.0013625,Cluster 39,Ward 8,High,880.0,4.65,1.0,,,682,26.0,40.0,94.0,518.0,933.0,53.0,102.0,207.0,556.0,21873207.956374083,8180.0,12748461.0,6860942.0,,,678.0,918.0,0.038348082595870206,0.04,0.058997050147492625,0.06153846153846154,0.13864306784660768,0.14461538461538462,0.7640117994100295,0.796923076923077,0.05773420479302832,0.1111111111111111,0.22549019607843138,0.6056644880174292,0.060227272727272727,0.1159090909090909,0.23522727272727273,0.6318181818181818
DCPS,462,Ballou STAY,Adult,524.0,,,,,38.83851166,-77.0013625,Cluster 39,Ward 8,,495.0,,,,,167,5.0,5.0,10.0,147.0,138.0,5.0,5.0,5.0,128.0,5708080.0,4850.0,3570862.0,3183315.0,,,167.0,143.0,0.029940119760479042,0.009541984732824428,0.029940119760479042,0.009541984732824428,0.059880239520958084,0.019083969465648856,0.8802395209580839,0.28053435114503816,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.8951048951048951,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.2585858585858586
DCPS,205,Barnard Elementary School,PK3-5th,620.0,73.18,4.0,753.0,133.0,38.94823095,-77.01777708,Cluster 18,Ward 4,Elementary,642.0,66.46,4.0,753.0,111.0,532,333.0,49.0,18.0,11.0,521.0,378.0,41.0,10.0,5.0,15199798.82158076,6340.0,7531184.0,4677607.0,0.8233731739707836,0.852589641434263,411.0,434.0,0.8102189781021898,0.5370967741935484,0.1192214111922141,0.07903225806451612,0.043795620437956206,0.02903225806451613,0.0267639902676399,0.017741935483870968,0.8709677419354839,0.0944700460829493,0.02304147465437788,0.01152073732718894,0.5887850467289719,0.06386292834890965,0.01557632398753894,0.00778816199376947
DCPS,206,Beers Elementary School,PK3-5th,489.0,38.68,2.0,508.0,19.0,38.86434984,-76.95560475,Cluster 34,Ward 7,Elementary,484.0,35.32,2.0,508.0,24.0,422,233.0,95.0,32.0,5.0,411.0,252.0,47.0,5.0,0.0,11026860.16455043,4340.0,5511270.0,3506981.0,0.9625984251968503,0.952755905511811,365.0,304.0,0.6383561643835617,0.47648261758691207,0.2602739726027397,0.19427402862985685,0.08767123287671233,0.065439672801636,0.0136986301369863,0.010224948875255624,0.8289473684210527,0.15460526315789475,0.01644736842105263,0.0,0.5206611570247934,0.09710743801652892,0.010330578512396695,0.0
DCPS,402,Benjamin Banneker High School,9th-12th,482.0,98.67,5.0,654.0,172.0,38.92383276,-77.02397697,Cluster 2,Ward 1,High,482.0,99.01,5.0,654.0,172.0,482,294.0,72.0,22.0,5.0,483.0,309.0,47.0,15.0,5.0,8774904.361047681,4540.0,4622883.0,3391093.0,0.7370030581039755,0.7370030581039755,393.0,376.0,0.7480916030534351,0.6099585062240664,0.183206106870229,0.14937759336099585,0.05597964376590331,0.04564315352697095,0.01272264631043257,0.01037344398340249,0.8218085106382979,0.125,0.0398936170212766,0.013297872340425532,0.6410788381742739,0.0975103734439834,0.03112033195020747,0.01037344398340249
DCPS,291,Boone Elementary School (formerly Orr Elementary),PK3-5th,430.0,47.46,3.0,492.0,62.0,38.87179716,-76.97448402,Cluster 34,Ward 8,Elementary,404.0,30.82,2.0,392.0,0.0,345,137.0,94.0,69.0,24.0,334.0,142.0,92.0,52.0,28.0,9026511.97137628,3990.0,4941263.0,3649872.0,0.8739837398373984,1.030612244897959,324.0,314.0,0.4228395061728395,0.3186046511627907,0.29012345679012347,0.2186046511627907,0.21296296296296297,0.16046511627906976,0.07407407407407407,0.05581395348837209,0.45222929936305734,0.2929936305732484,0.16560509554140126,0.08917197452229299,0.35148514851485146,0.22772277227722773,0.12871287128712872,0.06930693069306931
DCPS,212,Brent Elementary School,PK3-5th,432.0,81.49,5.0,408.0,0.0,38.88480121,-77.00145985,Cluster 26,Ward 6,Elementary,425.0,65.64,4.0,408.0,0.0,369,229.0,29.0,5.0,5.0,369.0,242.0,40.0,5.0,0.0,7639787.996764621,3800.0,3855869.0,3350521.0,1.0588235294117647,1.0416666666666667,268.0,287.0,0.8544776119402985,0.5300925925925926,0.10820895522388059,0.06712962962962964,0.018656716417910446,0.011574074074074073,0.018656716417910446,0.011574074074074073,0.8432055749128919,0.13937282229965156,0.017421602787456445,0.0,0.5694117647058824,0.09411764705882353,0.011764705882352941,0.0
