code,name,grade_band,enrollment_SY1718,enrollment_SY1819,star_score_SY1718,star_score_SY1819,star_rating_SY1718,star_rating_SY1819,capacity_SY1718,capacity_SY1819,latitude,longitude,cluster,ward,count_any_SY1819,count_0_SY1819,pct_0_SY1819,count_1-5_SY1819,pct_1-5_SY1819,count_6-10_SY1819,pct_6-10_SY1819,count_11-20_SY1819,pct_11-20_SY1819,count_20+_SY1819,pct_20+_SY1819,count_any_SY1718,count_0_SY1718,pct_0_SY1718,count_1-5_SY1718,pct_1-5_SY1718,count_6-10_SY1718,pct_6-10__SY1718,count_11-20_SY1718,pct_11-20_SY1718,count_20+_SY1718,pct_20+_SY1718,budgeted_amount_FY16,budgeted_enrollment_FY16,budgeted_amount_FY17,budgeted_enrollment_FY17
175,School-Within-School @ Goding,Elementary,308,313,88.55,88.26,5,5,444,444,38.89756498,-76.99318304,25,6,176,137,0.437699681,145,0.463258786,21,0.067092652,5,0.015974441,5,0.015974441,191,117,0.37987013,166,0.538961039,20,0.064935065,5,0.016233766,0,0,10592800,5880,3815456,2674740
201,Oyster Adams Bilingual School (Adams),Middle,347,343,80.14,77.53,5,4,348,348,38.91730954,-77.04437725,1,1,0,343,1,,0,,0,,0,,0,0,347,1,,0,,0,,0,,0,-1,-1,-1,-1
202,Aiton Elementary School,Elementary,243,244,43.85,10.79,3,1,529,529,38.89700181,-76.93370092,31,7,185,59,0.241803279,58,0.237704918,61,0.25,45,0.18442623,21,0.086065574,177,66,0.271604938,74,0.304526749,58,0.238683128,33,0.135802469,12,0.049382716,7429920.001,2650,3780814,2499672
203,Amidon-Bowen Elementary School,Elementary,351,339,36.53,48.54,2,3,400,400,38.8795154,-77.0181253,9,6,267,72,0.212389381,132,0.389380531,87,0.256637168,38,0.112094395,10,0.029498525,295,56,0.15954416,149,0.424501425,98,0.279202279,36,0.102564103,12,0.034188034,8979878.263,3660,4533018,3020358
205,Barnard Elementary School,Elementary,642,620,66.46,73.18,4,4,753,753,38.94823095,-77.01777708,18,4,411,209,0.337096774,333,0.537096774,49,0.079032258,18,0.029032258,11,0.017741935,434,208,0.323987539,378,0.588785047,41,0.063862928,10,0.015576324,5,0.007788162,15199798.82,6340,7531184,4677607
206,Beers Elementary School,Elementary,484,489,35.32,38.68,2,2,508,508,38.86434984,-76.95560475,34,7,365,124,0.253578732,233,0.476482618,95,0.194274029,32,0.065439673,5,0.010224949,304,180,0.371900826,252,0.520661157,47,0.097107438,5,0.010330579,0,0,11026860.16,4340,5511270,3506981
212,Brent Elementary School,Elementary,425,432,65.64,81.49,4,5,408,408,38.88480121,-77.00145985,26,6,268,164,0.37962963,229,0.530092593,29,0.06712963,5,0.011574074,5,0.011574074,287,138,0.324705882,242,0.569411765,40,0.094117647,5,0.011764706,0,0,7639787.997,3800,3855869,3350521
213,Brightwood Education Campus,Elementary_Middle,737,757,59.87,57.15,3,3,1069,1069,38.96053573,-77.03068885,18,4,638,119,0.157199472,399,0.527080581,150,0.198150594,62,0.081902246,27,0.035667107,626,111,0.150610583,407,0.552238806,155,0.210312076,52,0.070556309,12,0.016282225,17816696.25,6700,8951669,5271217
219,Bunker Hill Elementary School,Elementary,200,221,49.18,34.72,3,2,577,577,38.94201247,-76.98499564,20,5,165,56,0.253393665,101,0.457013575,40,0.180995475,19,0.085972851,5,0.022624434,155,45,0.225,80,0.4,48,0.24,22,0.11,5,0.025,4573150.181,1500,2431546,1873046
220,Burroughs Elementary School,Elementary,282,273,58.66,62.14,3,4,450,450,38.93350266,-76.97845637,22,5,194,79,0.289377289,87,0.318681319,68,0.249084249,24,0.087912088,15,0.054945055,211,71,0.25177305,84,0.29787234,63,0.223404255,48,0.170212766,16,0.056737589,7657455.691,2500,3850677,2558075
