,code,name,grade_band,enrollment_SY1718,enrollment_SY1819,star_score_SY1718,star_score_SY1819,star_rating_SY1718,star_rating_SY1819,capacity_SY1718,capacity_SY1819,latitude,longitude,cluster,ward,count_any_SY1819,count_0_SY1819,pct_0_SY1819,count_1-5_SY1819,pct_1-5_SY1819,count_6-10_SY1819,pct_6-10_SY1819,count_11-20_SY1819,pct_11-20_SY1819,count_20+_SY1819,pct_20+_SY1819,count_any_SY1718,count_0_SY1718,pct_0_SY1718,count_1-5_SY1718,pct_1-5_SY1718,count_6-10_SY1718,pct_6-10__SY1718,count_11-20_SY1718,pct_11-20_SY1718,count_20+_SY1718,pct_20+_SY1718,budgeted_amount_FY16,budgeted_enrollment_FY16,budgeted_amount_FY17,budgeted_enrollment_FY17,pct_meet_exceed_math_SY1718,pct_meet_exceed_ela_SY1718,pct_meet_exceed_math_SY1819,pct_meet_exceed_ela_SY1819
0,175.0,School-Within-School @ Goding,Elementary,308.0,313.0,88.55,88.26,5.0,5.0,444.0,444.0,38.89756498,-76.99318304,25.0,6.0,176.0,137.0,0.437699681,145.0,0.46325878600000003,21.0,0.067092652,5.0,0.015974441000000002,5.0,0.015974441000000002,191.0,117.0,0.37987013,166.0,0.538961039,20.0,0.064935065,5.0,0.016233766,0.0,0.0,10592800.0,5880.0,3815456.0,2674740.0,0.765,0.765,0.743,0.752
1,201.0,Oyster Adams Bilingual School (Adams),Middle,347.0,343.0,80.14,77.53,5.0,4.0,348.0,348.0,38.91730954,-77.04437725,1.0,1.0,0.0,343.0,1.0,,0.0,,0.0,,0.0,,0.0,0.0,347.0,1.0,,0.0,,0.0,,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,202.0,Aiton Elementary School,Elementary,243.0,244.0,43.85,10.79,3.0,1.0,529.0,529.0,38.89700181,-76.93370092,31.0,7.0,185.0,59.0,0.24180327899999998,58.0,0.23770491800000002,61.0,0.25,45.0,0.18442623,21.0,0.086065574,177.0,66.0,0.271604938,74.0,0.304526749,58.0,0.238683128,33.0,0.135802469,12.0,0.04938271599999999,7429920.001,2650.0,3780814.0,2499672.0,0.129,0.171,0.153,0.055999999999999994
3,203.0,Amidon-Bowen Elementary School,Elementary,351.0,339.0,36.53,48.54,2.0,3.0,400.0,400.0,38.879515399999995,-77.01812530000001,9.0,6.0,267.0,72.0,0.21238938100000002,132.0,0.38938053100000003,87.0,0.256637168,38.0,0.112094395,10.0,0.029498525,295.0,56.0,0.15954416,149.0,0.424501425,98.0,0.279202279,36.0,0.102564103,12.0,0.034188034,8979878.263,3660.0,4533018.0,3020358.0,0.188,0.10099999999999999,0.163,0.22899999999999998
4,205.0,Barnard Elementary School,Elementary,642.0,620.0,66.46,73.18,4.0,4.0,753.0,753.0,38.94823095,-77.01777708,18.0,4.0,411.0,209.0,0.337096774,333.0,0.537096774,49.0,0.079032258,18.0,0.029032258,11.0,0.017741935,434.0,208.0,0.323987539,378.0,0.588785047,41.0,0.063862928,10.0,0.015576323999999999,5.0,0.0077881619999999995,15199798.82,6340.0,7531184.0,4677607.0,0.406,0.389,0.457,0.381
5,206.0,Beers Elementary School,Elementary,484.0,489.0,35.32,38.68,2.0,2.0,508.0,508.0,38.86434984,-76.95560475,34.0,7.0,365.0,124.0,0.253578732,233.0,0.47648261799999997,95.0,0.194274029,32.0,0.065439673,5.0,0.010224949,304.0,180.0,0.371900826,252.0,0.520661157,47.0,0.097107438,5.0,0.010330579,0.0,0.0,11026860.16,4340.0,5511270.0,3506981.0,0.285,0.182,0.25,0.22399999999999998
6,212.0,Brent Elementary School,Elementary,425.0,432.0,65.64,81.49,4.0,5.0,408.0,408.0,38.88480121,-77.00145985,26.0,6.0,268.0,164.0,0.37962963,229.0,0.530092593,29.0,0.06712963,5.0,0.011574073999999998,5.0,0.011574073999999998,287.0,138.0,0.324705882,242.0,0.569411765,40.0,0.094117647,5.0,0.011764706000000002,0.0,0.0,7639787.997,3800.0,3855869.0,3350521.0,0.7070000000000001,0.736,0.688,0.618
7,213.0,Brightwood Education Campus,Elementary_Middle,737.0,757.0,59.87,57.15,3.0,3.0,1069.0,1069.0,38.96053573,-77.03068885,18.0,4.0,638.0,119.0,0.15719947199999998,399.0,0.527080581,150.0,0.19815059399999999,62.0,0.081902246,27.0,0.035667107,626.0,111.0,0.15061058300000002,407.0,0.552238806,155.0,0.21031207600000001,52.0,0.070556309,12.0,0.016282225,17816696.25,6700.0,8951669.0,5271217.0,0.317,0.33899999999999997,0.243,0.368
8,219.0,Bunker Hill Elementary School,Elementary,200.0,221.0,49.18,34.72,3.0,2.0,577.0,577.0,38.94201247,-76.98499564,20.0,5.0,165.0,56.0,0.253393665,101.0,0.457013575,40.0,0.180995475,19.0,0.085972851,5.0,0.022624434,155.0,45.0,0.225,80.0,0.4,48.0,0.24,22.0,0.11,5.0,0.025,4573150.181,1500.0,2431546.0,1873046.0,0.254,0.179,0.209,0.209
9,220.0,Burroughs Elementary School,Elementary,282.0,273.0,58.66,62.14,3.0,4.0,450.0,450.0,38.93350266,-76.97845637,22.0,5.0,194.0,79.0,0.289377289,87.0,0.31868131899999996,68.0,0.24908424899999998,24.0,0.08791208800000001,15.0,0.054945055,211.0,71.0,0.25177305,84.0,0.29787234,63.0,0.223404255,48.0,0.17021276600000002,16.0,0.056737589000000005,7657455.691000001,2500.0,3850677.0,2558075.0,0.281,0.35200000000000004,0.28600000000000003,0.33
