school_code,school_name,school_type,cluster,Cluster ,charter_status,latitude,longitude,ward,zipcode,census_tract,lea_code,lea_name
101,Maya Angelou PCS-Evans High School,Alternative Education School,33,Cluster 33,Yes,38.89029144,-76.92063526,7,20019,7808,133,Maya Angelou PCS
102,Cesar Chavez for Public Policy-Parkside MS PCS,Regular school,30,Cluster 30,Yes,38.90143803,-76.94906511,7,20019,9602,109,Cesar Chavez PCS
104,Latin American Youth Center Career Academy,Regular School,20,Cluster 20,Yes,38.92851269,-77.0358413,1,20009,2802,172,Latin American Youth Center (LAYC) Career Academy
105,Community Academy Amos I,Regular school,18,Cluster 18,Yes,38.94470049,-77.03054061,4,20011,2501,113,Community Academy PCS
106,Community Academy Butler Global,Regular school,7,Cluster 7,Yes,38.90908026,-77.0132191,5,20001,4600,113,Community Academy PCS
108,Community Academy CAPCS Online,Regular school,,,Yes,38.9059779,-77.0321778,2,20005,NULL,113,Community Academy PCS
109,Cesar Chavez PCS for Public Policy-Parkside HS,Regular School,30,Cluster 30,Yes,38.90143803,-76.94906511,7,20019,9602,109,Cesar Chavez PCS
113,Friendship PCS SouthEast Academy,Special Education school,39,Cluster 39,Yes,38.84779147,-76.99700774,8,20032,10400,120,Friendship PCS
114,Hope Community PCS Tolson Campus,Regular school,21,Cluster 21,Yes,38.9269508,-76.99461626,5,20017,9201,121,Hope Community Academy PCS
115,Howard University Middle School of Math and Science PCS,Regular school,3,Cluster 3,Yes,38.92284156,-77.01912932,1,20059,3400,124,Howard University Middle School of Math and Science
116,KIPP DC AIM PCS Academy PCS,Regular school,37,Cluster 37,Yes,38.85662232,-76.98804884,8,20020,7406,129,KIPP DC PCS
117,Potomac Lighthouse PCS,Regular school,20,Cluster 20,Yes,38.9429707,-76.994532,5,20017,9504,139,Potomac Lighthouse PCS
121,KIPP DC WILL Academy PCS,Regular school,7,Cluster 7,Yes,38.90988639,-77.01811734,6,20001,4801,129,KIPP DC PCS
125,Washington Latin PCS - Middle School,Regular school,18,Cluster 18,Yes,38.95388895,-77.01381902,4,20011,2102,151,Washington Latin PCS
126,Briya Public Charter School,Regular school,1,Cluster 1,Yes,38.92097271,-77.0398061,1,20009,3800,119,Briya Public Charter School
