,school_sector,school_code,school_name,school_grade_range,school_enrollment_SY1819,school_star_score_SY1819,school_star_rating_SY1819,school_capacity_SY1819,school_unfilled_seats_SY1819,school_latitude,school_longitude,school_cluster,school_ward,school_grade_band,school_enrollment_SY1718,school_star_score_SY1718,school_star_rating_SY1718,school_capacity_SY1718,school_unfilled_seats_SY1718,attnd_count_truancy_aged_students_SY1819,attnd_absence_1-5_SY1819,attnd_absence_6-10_SY1819,attnd_absence_11-20_SY1819,attnd_absence_20+_SY1819,attnd_count_truancy_aged_students_SY1718,attnd_absence_1-5_SY1718,attnd_absence_6-10_SY1718,attnd_absence_11-20_SY1718,attnd_absence_20+_SY1718,school_budgeted_amount_FY16,school_budgeted_enrollment_FY16,school_budgeted_amount_FY17,school_budgeted_enrollment_FY17,school_capacity_pct_SY1819,school_capacity_pct_SY1718,students_with_absences_SY1819,students_with_absences_SY1718,pct_of_absences_1-5_SY1819,pct_of_student_absences_1-5_SY1819,pct_of_absences_6-10_SY1819,pct_of_student_absences_6-10_SY1819,pct_of_absences_11-20_SY1819,pct_of_student_absences_11-20_SY1819,pct_of_absences_20+_SY1819,pct_of_student_absences_20+_SY1819,pct_of_absences_1-5_SY1718,pct_of_absences_6-10_SY1718,pct_of_absences_11-20_SY1718,pct_of_absences_20+_SY1718,pct_of_student_absences_1-5_SY1718,pct_of_student_absences_6-10_SY1718,pct_of_student_absences_11-20_SY1718,pct_of_student_absences_20+_SY1718,cluster_Count of English Learner Students,cluster_English Learner Students as  share of Neighborhood Cluster,cluster_Count of At Risk Students,cluster_At Risk as share of Neighborhood Cluster,cluster_Count of Special Education Students,cluster_Special Education Students as share of Neighborhood Cluster,cluster_Sum of Enrollment by Sector and Grade Band
0,DCPS,202,Aiton Elementary School,PK3-5th,244.0,10.79,1.0,529.0,285.0,38.89700181,-76.93370092,Cluster 31,Ward 7,Elementary,243.0,43.85,3.0,529.0,286.0,190.0,58.0,61.0,45.0,21.0,190.0,74.0,58.0,33.0,12.0,7429920.000736499,2650.0,3780814.0,2499672.0,0.4612476370510397,0.4593572778827977,185.0,177.0,0.3135135135135135,0.2377049180327868,0.3297297297297297,0.25,0.2432432432432432,0.1844262295081967,0.1135135135135135,0.0860655737704918,0.4180790960451977,0.327683615819209,0.1864406779661017,0.0677966101694915,0.3045267489711934,0.2386831275720164,0.1358024691358024,0.0493827160493827,71,0.02,2089,0.61,612,0.18,3518
1,DCPS,203,Amidon-Bowen Elementary School,PK3-5th,339.0,48.54,3.0,400.0,61.0,38.8795154,-77.0181253,Cluster 9,Ward 6,Elementary,351.0,36.53,2.0,400.0,49.0,279.0,132.0,87.0,38.0,10.0,309.0,149.0,98.0,36.0,12.0,8979878.262866085,3660.0,4533018.0,3020358.0,0.8475,0.8775,267.0,295.0,0.4943820224719101,0.3893805309734513,0.3258426966292135,0.2566371681415929,0.1423220973782771,0.1120943952802359,0.0374531835205992,0.0294985250737463,0.5050847457627119,0.3322033898305084,0.1220338983050847,0.0406779661016949,0.4245014245014245,0.2792022792022792,0.1025641025641025,0.0341880341880341,35,0.03,631,0.59,204,0.19,969
2,DCPS,450,Anacostia High School,9th-12th,296.0,3.68,1.0,837.0,541.0,38.87008406,-76.98307725,Cluster 34,Ward 8,High,379.0,2.85,1.0,837.0,458.0,345.0,20.0,29.0,68.0,221.0,396.0,31.0,40.0,59.0,262.0,18537017.599638693,6360.0,9238855.0,4694247.0,0.3536439665471924,0.4528076463560334,338.0,392.0,0.059171597633136,0.0675675675675675,0.0857988165680473,0.0979729729729729,0.2011834319526627,0.2297297297297297,0.6538461538461539,0.7466216216216216,0.0790816326530612,0.1020408163265306,0.1505102040816326,0.6683673469387755,0.0817941952506596,0.1055408970976253,0.1556728232189973,0.6912928759894459,47,0.02,1682,0.56,483,0.16,1786
3,DCPS,452,Ballou High School,9th-12th,650.0,4.83,1.0,,,38.83851166,-77.0013625,Cluster 39,Ward 8,High,880.0,4.65,1.0,,,682.0,26.0,40.0,94.0,518.0,933.0,53.0,102.0,207.0,556.0,21873207.956374083,8180.0,12748461.0,6860942.0,,,678.0,918.0,0.0383480825958702,0.04,0.0589970501474926,0.0615384615384615,0.1386430678466076,0.1446153846153846,0.7640117994100295,0.796923076923077,0.0577342047930283,0.1111111111111111,0.2254901960784313,0.6056644880174292,0.0602272727272727,0.1159090909090909,0.2352272727272727,0.6318181818181818,66,0.01,5609,0.68,1443,0.17,9122
4,DCPS,462,Ballou STAY,Adult,524.0,,,,,38.83851166,-77.0013625,Cluster 39,Ward 8,,495.0,,,,,167.0,5.0,5.0,10.0,147.0,138.0,5.0,5.0,5.0,128.0,5708080.0,4850.0,3570862.0,3183315.0,,,167.0,143.0,0.029940119760479,0.0095419847328244,0.029940119760479,0.0095419847328244,0.059880239520958,0.0190839694656488,0.8802395209580839,0.2805343511450381,0.0349650349650349,0.0349650349650349,0.0349650349650349,0.8951048951048951,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.2585858585858586,66,0.01,5609,0.68,1443,0.17,9122
5,DCPS,205,Barnard Elementary School,PK3-5th,620.0,73.18,4.0,753.0,133.0,38.94823095,-77.01777708,Cluster 18,Ward 4,Elementary,642.0,66.46,4.0,753.0,111.0,532.0,333.0,49.0,18.0,11.0,521.0,378.0,41.0,10.0,5.0,15199798.82158076,6340.0,7531184.0,4677607.0,0.8233731739707836,0.852589641434263,411.0,434.0,0.8102189781021898,0.5370967741935484,0.1192214111922141,0.0790322580645161,0.0437956204379562,0.0290322580645161,0.0267639902676399,0.0177419354838709,0.8709677419354839,0.0944700460829493,0.0230414746543778,0.0115207373271889,0.5887850467289719,0.0638629283489096,0.0155763239875389,0.0077881619937694,2164,0.32,2406,0.36,883,0.13,7949
6,DCPS,206,Beers Elementary School,PK3-5th,489.0,38.68,2.0,508.0,19.0,38.86434984,-76.95560475,Cluster 34,Ward 7,Elementary,484.0,35.32,2.0,508.0,24.0,422.0,233.0,95.0,32.0,5.0,411.0,252.0,47.0,5.0,0.0,11026860.16455043,4340.0,5511270.0,3506981.0,0.9625984251968503,0.952755905511811,365.0,304.0,0.6383561643835617,0.476482617586912,0.2602739726027397,0.1942740286298568,0.0876712328767123,0.065439672801636,0.0136986301369863,0.0102249488752556,0.8289473684210527,0.1546052631578947,0.0164473684210526,0.0,0.5206611570247934,0.0971074380165289,0.0103305785123966,0.0,47,0.02,1682,0.56,483,0.16,1786
7,DCPS,402,Benjamin Banneker High School,9th-12th,482.0,98.67,5.0,654.0,172.0,38.92383276,-77.02397697,Cluster 2,Ward 1,High,482.0,99.01,5.0,654.0,172.0,482.0,294.0,72.0,22.0,5.0,483.0,309.0,47.0,15.0,5.0,8774904.361047681,4540.0,4622883.0,3391093.0,0.7370030581039755,0.7370030581039755,393.0,376.0,0.7480916030534351,0.6099585062240664,0.183206106870229,0.1493775933609958,0.0559796437659033,0.0456431535269709,0.0127226463104325,0.0103734439834024,0.8218085106382979,0.125,0.0398936170212766,0.0132978723404255,0.6410788381742739,0.0975103734439834,0.0311203319502074,0.0103734439834024,2276,0.37,2467,0.42,889,0.14,8171
8,DCPS,291,Boone Elementary School (formerly Orr Elementary),PK3-5th,430.0,47.46,3.0,492.0,62.0,38.87179716,-76.97448402,Cluster 34,Ward 8,Elementary,404.0,30.82,2.0,392.0,0.0,345.0,137.0,94.0,69.0,24.0,334.0,142.0,92.0,52.0,28.0,9026511.97137628,3990.0,4941263.0,3649872.0,0.8739837398373984,1.030612244897959,324.0,314.0,0.4228395061728395,0.3186046511627907,0.2901234567901234,0.2186046511627907,0.2129629629629629,0.1604651162790697,0.074074074074074,0.055813953488372,0.4522292993630573,0.2929936305732484,0.1656050955414012,0.0891719745222929,0.3514851485148514,0.2277227722772277,0.1287128712871287,0.0693069306930693,47,0.02,1682,0.56,483,0.16,1786
9,DCPS,212,Brent Elementary School,PK3-5th,432.0,81.49,5.0,408.0,0.0,38.88480121,-77.00145985,Cluster 26,Ward 6,Elementary,425.0,65.64,4.0,408.0,0.0,369.0,229.0,29.0,5.0,5.0,369.0,242.0,40.0,5.0,0.0,7639787.996764621,3800.0,3855869.0,3350521.0,1.0588235294117647,1.0416666666666667,268.0,287.0,0.8544776119402985,0.5300925925925926,0.1082089552238805,0.0671296296296296,0.0186567164179104,0.011574074074074,0.0186567164179104,0.011574074074074,0.8432055749128919,0.1393728222996515,0.0174216027874564,0.0,0.5694117647058824,0.0941176470588235,0.0117647058823529,0.0,73,0.03,672,0.26,269,0.1,3988
