Neighborhood Cluster,Count of At Risk Students,Count of Eligible At-Risk Population,Average Walk Distance in Miles,Median Walk Distance in Miles,75th Percentile Distance in Miles,Count of English Learner Students,Count of Eligible English Learner Population,Count of Students in Cluster,Count of Students in Category,African American - Count,African American - Total Enrollment,"Asian, Multi-Racial, Other - Count","Asian, Multi-Racial, Other - Count - Total Enrollment",Hispanic - Count,Hispanic - Total Enrollment,White - Count,White - Total Enrollment,Count of Special Education Students,Count of Eligible Special Education Population,Sum of school_enrollment_SY1718,Average of school_star_rating_SY1718,Sum of school_capacity_SY1718,Sum of school_unfilled_seats_SY1718,Sum of attnd_count_truancy_aged_students_SY1718,Sum of school_budgeted_amount_FY17,Sum of school_budgeted_enrollment_FY17,Sum of students_with_absences_SY1718
Cluster 1,308,831,0.76,0.68,0.87,386,831,835,349,,831,70,831,497,831,,831,97,831,1178,4.67,1275,97,681,10996629,7123322,572
Cluster 10,23,816,1.04,0.98,1.37,35,816,1678,1460,87,816,101,816,70,816,558,816,56,816,816,4.00,805,0,737,6366155,5371216,412
Cluster 11,579,4041,0.72,0.71,0.94,244,4041,1425,1276,1044,4041,445,4041,682,4041,1870,4041,370,4041,4041,4.67,4132,106,4052,35065252,24745135,3524
Cluster 12,24,573,0.84,0.81,0.95,57,573,722,580,78,573,105,573,58,573,332,573,55,573,573,4.00,0,0,538,5692681,4513199,427
Cluster 13,15,817,1.11,0.91,1.61,60,817,747,640,84,817,97,817,97,817,539,817,48,817,817,4.50,860,43,761,7515224,6385880,510
Cluster 14,15,438,0.65,0.49,0.78,86,438,1048,781,40,438,65,438,61,438,272,438,17,438,438,4.00,489,51,452,4333567,3653883,323
Cluster 15,117,1465,0.72,0.54,0.75,246,1465,613,438,199,1465,175,1465,504,1465,587,1465,158,1465,1118,4.67,1170,77,1377,16142118,12337897,952
Cluster 16,48,364,2.02,0.85,3.86,25,364,513,290,263,364,25,364,26,364,50,364,26,364,364,4.00,400,36,311,3653973,3137322,239
Cluster 17,592,1108,0.47,0.40,0.67,308,1108,4631,995,723,1108,26,1108,324,1108,35,1108,219,1108,1108,2.00,2075,990,1067,18281098,10478499,890
Cluster 18,2454,5397,0.51,0.34,0.53,2740,5689,7553,1849,2061,5912,130,5912,3487,5912,234,5912,761,5688,5368,2.80,5329,1242,4560,63817409,39743220,4131
Cluster 19,192,363,0.80,0.77,1.05,138,363,2933,474,186,363,5,363,168,363,4,363,59,363,363,3.00,400,37,352,5534604,3244381,316
Cluster 2,1951,4404,0.87,0.55,1.10,1480,4404,7026,1924,1880,4404,169,4404,2150,4404,205,4404,487,4404,3838,3.50,4362,844,3628,50349022,29772848,3244
Cluster 20,211,438,1.05,0.75,1.03,38,438,1329,163,379,438,4,438,51,438,4,438,73,438,438,2.00,1111,673,163,6225202,4200231,155
Cluster 21,910,1753,0.71,0.53,1.06,75,1753,2816,367,1554,1753,31,1753,132,1753,36,1753,261,1753,1753,2.50,1665,773,1805,23906948,14368868,1757
Cluster 22,426,801,0.86,0.54,1.25,60,1050,2497,430,948,1052,8,1052,77,1052,19,1052,164,1050,1052,2.75,1679,627,888,14666470,10228643,804
Cluster 23,623,909,0.65,0.50,0.77,66,961,2995,450,874,961,11,961,70,961,6,961,144,961,961,2.67,1840,931,1002,17027791,10318762,827
